parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,khat
log_lik[617],-1.99906012,NA,0.1221499642094695,-2.245917,-2.0820325000000004,-1.9966599999999999,-1.9170075,-1.7627572500000002,NA,1.0611210912326086
log_lik[618],-1.1207635345,NA,0.09562381773646633,-1.31353225,-1.1856274999999998,-1.117745,-1.05432,-0.9436638249999999,NA,1.0108484942999592
log_lik[619],-0.93746641575,NA,0.09335849617066826,-1.13285675,-0.999369,-0.9337759999999999,-0.8722325,-0.7635822,NA,1.0113114577352333
log_lik[620],-0.539891964,NA,0.018000656342516925,-0.579902075,-0.550907,-0.538009,-0.52774075,-0.50802865,NA,1.0071305714650536
log_lik[621],-1.511061958,NA,0.15619217103887015,-1.831426,-1.6122375,-1.506505,-1.4060700000000002,-1.2145267499999999,NA,1.0177338123059296
log_lik[622],-0.53657661625,NA,0.016326512901699758,-0.572119175,-0.546723,-0.5354015000000001,-0.5256037499999999,-0.50730095,NA,1.006681261175604
log_lik[623],-0.54339684025,NA,0.022084200376542892,-0.597301375,-0.554422,-0.5403009999999999,-0.52830925,-0.509091325,NA,1.0096260346405974
log_lik[624],-1.59566284,NA,0.17319591877669813,-1.94209425,-1.708485,-1.589815,-1.4758474999999998,-1.26525825,NA,1.0402268017501901
log_lik[625],-1.4234805975,NA,0.11906000217830352,-1.6649925,-1.5039525,-1.4226,-1.3388125,-1.19696625,NA,1.0038786328196008
log_lik[626],-0.54869502125,NA,0.021211546174432366,-0.5958426,-0.561843,-0.5467285,-0.53382975,-0.5126755249999999,NA,1.007032407485231
log_lik[627],-1.14730394525,NA,0.11411572357889706,-1.3766639999999999,-1.22313,-1.14186,-1.06762,-0.9341134999999999,NA,1.0397738932938287
log_lik[628],-0.5427569705,NA,0.019696134094644033,-0.5878340000000001,-0.55399725,-0.540898,-0.52915625,-0.509357875,NA,1.0043444404748794
log_lik[629],-1.474865698,NA,0.1248276201436063,-1.7284682500000002,-1.5570875,-1.470875,-1.387215,-1.24436075,NA,1.0439724840127906
log_lik[630],-1.036912017,NA,0.11704977053272095,-1.2855492499999999,-1.1104399999999999,-1.0321,-0.9582250000000001,-0.8196239499999999,NA,1.0300657707816572
log_lik[631],-0.539698605,NA,0.018189734362148238,-0.5812057500000001,-0.550025,-0.5381285,-0.527034,-0.508172175,NA,1.0047143149714421
log_lik[632],-0.53608075175,NA,0.01605115000991464,-0.572175325,-0.545262,-0.5351835,-0.5252175,-0.5080769500000001,NA,1.0071519026709106
log_lik[633],-0.53818765725,NA,0.017251860658891883,-0.57704415,-0.5485075,-0.536894,-0.5261247499999999,-0.507500575,NA,1.0065472260889254
log_lik[634],-0.6138852635000001,NA,0.04737014760262041,-0.7214395,-0.64216625,-0.608986,-0.579411,-0.536778925,NA,1.0180594479552694
log_lik[635],-0.703851653,NA,0.06349114828120221,-0.8397039749999999,-0.7433975,-0.6996225,-0.6599207500000001,-0.5920287499999999,NA,1.023652676786956
log_lik[636],-0.67941294225,NA,0.05386764016913366,-0.7945990250000001,-0.7139882500000001,-0.6758740000000001,-0.640665,-0.58351595,NA,1.0132582306468556
log_lik[637],-0.55451269675,NA,0.024966329229385863,-0.6156739750000001,-0.5670327500000001,-0.551026,-0.53714325,-0.515765025,NA,1.0196898772202727
log_lik[638],-1.4016369825,NA,0.12876947069245587,-1.65783,-1.48944,-1.3953099999999998,-1.3126625,-1.1600845,NA,1.019920460625824
log_lik[639],-0.628960565,NA,0.03632054871784798,-0.70471405,-0.6526514999999999,-0.627211,-0.60293575,-0.562673775,NA,1.0024576950894157
log_lik[640],-1.0144775145,NA,0.09987339079968577,-1.220695,-1.081645,-1.0110000000000001,-0.9439835,-0.8287894499999999,NA,1.0143319007399487
log_lik[641],-1.1194134395,NA,0.12697177553663064,-1.3832834999999999,-1.2001950000000001,-1.1164999999999998,-1.0325950000000002,-0.8813055249999999,NA,1.0570529864710825
log_lik[642],-1.63018974,NA,0.11198850096603476,-1.8510764999999998,-1.705855,-1.627575,-1.5527100000000003,-1.4175895,NA,1.0313486091098318
log_lik[643],-0.53379624775,NA,0.013538592063676228,-0.56185235,-0.5425562500000001,-0.533286,-0.52459875,-0.508266675,NA,1.0097408339378848
log_lik[644],-0.53665614375,NA,0.016769248775145157,-0.57486745,-0.5458005,-0.5349925,-0.52548725,-0.50869635,NA,1.011659046940931
log_lik[645],-0.54457957925,NA,0.02227382059088983,-0.599013775,-0.5555810000000001,-0.541334,-0.52959925,-0.510000475,NA,1.0071823994046134
log_lik[646],-1.049465071,NA,0.11693950476935439,-1.28837775,-1.124225,-1.04373,-0.97079875,-0.8307868999999999,NA,1.0346268006976045
log_lik[647],-0.558000842,NA,0.02624734678305261,-0.617467375,-0.57293575,-0.5546335,-0.5394147499999999,-0.515591625,NA,1.0103215007100081
log_lik[648],-0.63282672175,NA,0.03923430991203868,-0.7169015249999999,-0.6566215000000001,-0.630228,-0.6048914999999999,-0.564891725,NA,1.0158641233271162
log_lik[649],-0.57191632625,NA,0.026701749860125457,-0.6308891,-0.5880925,-0.5695045000000001,-0.55278975,-0.5266270249999999,NA,1.0084779153774475
log_lik[650],-0.53291412475,NA,0.01378727978963531,-0.561207175,-0.54162925,-0.5321400000000001,-0.5237062499999999,-0.5071027,NA,1.0100661563537174
log_lik[651],-0.5399576745,NA,0.019332381034825197,-0.5848120499999999,-0.55024275,-0.5375315,-0.526881,-0.50817315,NA,1.011320146007033
log_lik[652],-1.62537636,NA,0.14577229444173215,-1.92315075,-1.7222175,-1.622625,-1.52729,-1.34887925,NA,1.0382238274726692
log_lik[653],-0.5659292325,NA,0.03139925234033172,-0.640206725,-0.58336825,-0.5611435,-0.5433684999999999,-0.51801365,NA,1.004869238825454
log_lik[654],-1.476004755,NA,0.11856096516583889,-1.7125322500000002,-1.5564624999999999,-1.47423,-1.3943525,-1.2542695,NA,1.0142871138249472
log_lik[655],-0.5783751955,NA,0.03355003151379926,-0.65432725,-0.5980875,-0.5742335000000001,-0.55422625,-0.525166275,NA,1.0075572139850768
log_lik[656],-0.6759226355,NA,0.04833197837967809,-0.7785042,-0.7055642500000001,-0.6728235,-0.64158675,-0.5913331000000001,NA,1.0200943969118217
log_lik[657],-0.6975211375,NA,0.05299450393039646,-0.8110518250000001,-0.7303655,-0.6943699999999999,-0.65971225,-0.60436305,NA,1.0219930488546796
log_lik[658],-1.077645191,NA,0.09433442271603881,-1.2649902499999999,-1.1414024999999999,-1.075335,-1.0137025,-0.895284875,NA,1.0198376041774095
log_lik[659],-1.58277084,NA,0.14881861106274313,-1.8780459999999999,-1.681115,-1.5796999999999999,-1.4840575,-1.29360025,NA,1.035633695889334
log_lik[660],-0.53477844775,NA,0.014719188910035501,-0.565405025,-0.54414675,-0.533771,-0.52464975,-0.508382675,NA,1.0090061839577409
log_lik[661],-1.33422631825,NA,0.13385619648892622,-1.5995015,-1.4222000000000001,-1.3314650000000001,-1.2444725,-1.0750565,NA,1.034790021569582
log_lik[662],-0.599754801,NA,0.044819185521929254,-0.70245775,-0.625425,-0.592676,-0.56815125,-0.530238325,NA,1.0019095915000609
log_lik[663],-0.5840797385,NA,0.033270427408805744,-0.6576467,-0.60437525,-0.5804875,-0.56058775,-0.5281156750000001,NA,1.0180554910938737
